"구분","상세1","상세2","값"
"전체 유저 수","전체",,"10732"
"레벨 분포","1",,"8445"
"레벨 분포","2",,"768"
"레벨 분포","3",,"421"
"레벨 분포","4",,"413"
"레벨 분포","5",,"322"
"레벨 분포","6",,"115"
"레벨 분포","7",,"89"
"레벨 분포","8",,"56"
"레벨 분포","9",,"33"
"레벨 분포","10",,"29"
"레벨 분포","11",,"12"
"레벨 분포","12",,"11"
"레벨 분포","13",,"12"
"레벨 분포","14",,"1"
"레벨 분포","15",,"2"
"레벨 분포","16",,"1"
"레벨 분포","17",,"1"
"레벨 분포","19",,"1"
"스테이지 진행도","1","1","6814"
"스테이지 진행도","1","2","1643"
"스테이지 진행도","1","3","855"
"스테이지 진행도","1","4","462"
"스테이지 진행도","1","5","257"
"스테이지 진행도","2","1","504"
"스테이지 진행도","2","2","40"
"스테이지 진행도","2","3","20"
"스테이지 진행도","2","4","19"
"스테이지 진행도","2","5","23"
"스테이지 진행도","3","1","49"
"스테이지 진행도","3","2","7"
"스테이지 진행도","3","3","7"
"스테이지 진행도","3","5","5"
"스테이지 진행도","4","1","9"
"스테이지 진행도","4","2","1"
"스테이지 진행도","4","4","1"
"스테이지 진행도","5","1","14"
"스테이지 진행도","5","3","1"
"스테이지 진행도","6","1","1"
